name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
The Shining,R,Drama,1980,8.4,927000,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000,46998772,Warner Bros.,June,27998772
The Blue Lagoon,R,Adventure,1980,5.8,65000,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000,58853106,Columbia Pictures,July,54353106
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,1200000,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,18000000,538375067,Lucasfilm,June,520375067
Airplane!,PG,Comedy,1980,7.7,221000,Jim Abrahams,Jim Abrahams,Robert Hays,United States,3500000,83453539,Paramount Pictures,July,79953539
Caddyshack,R,Comedy,1980,7.3,108000,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,6000000,39846344,Orion Pictures,July,33846344
Friday the 13th,R,Horror,1980,6.4,123000,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,550000,39754601,Paramount Pictures,May,39204601
The Blues Brothers,R,Action,1980,7.9,188000,John Landis,Dan Aykroyd,John Belushi,United States,27000000,115229890,Universal Pictures,June,88229890
Raging Bull,R,Biography,1980,8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,18000000,23402427,Chartoff-Winkler Productions,December,5402427
Superman II,PG,Action,1980,6.8,101000,Richard Lester,Jerry Siegel,Gene Hackman,United States,54000000,108185706,Dovemead Films,June,54185706
The Long Riders,R,Biography,1980,7,10000,Walter Hill,Bill Bryden,David Carradine,United States,10000000,15795189,United Artists,May,5795189
Any Which Way You Can,PG,Action,1980,6.1,18000,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,15000000,70687344,The Malpaso Company,December,55687344
The Gods Must Be Crazy,PG,Adventure,1980,7.3,54000,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000,30031783,C.A.T. Films,October,25031783
Popeye,PG,Adventure,1980,5.3,30000,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000,49823037,Paramount Pictures,December,29823037
Ordinary People,R,Drama,1980,7.7,49000,Robert Redford,Judith Guest,Donald Sutherland,United States,6000000,54766923,Paramount Pictures,September,48766923
Dressed to Kill,R,Crime,1980,7.1,37000,Brian De Palma,Brian De Palma,Michael Caine,United States,6500000,31899000,Filmways Pictures,July,25399000
Somewhere in Time,PG,Drama,1980,7.2,27000,Jeannot Szwarc,Richard Matheson,Christopher Reeve,United States,5100000,9709597,Rastar Pictures,October,4609597
Fame,R,Drama,1980,6.6,21000,Alan Parker,Christopher Gore,Eddie Barth,United States,NA,21202829,Metro-Goldwyn-Mayer (MGM),May,NA
9 to 5,PG,Comedy,1980,6.9,29000,Colin Higgins,Patricia Resnick,Jane Fonda,United States,10000000,103300686,IPC Films,December,93300686
The Fog,R,Horror,1980,6.8,66000,John Carpenter,John Carpenter,Adrienne Barbeau,United States,1000000,21448782,AVCO Embassy Pictures,February,20448782
Stir Crazy,R,Comedy,1980,6.8,26000,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,United States,NA,101300000,Columbia Pictures,December,NA
Cruising,R,Crime,1980,6.5,20000,William Friedkin,William Friedkin,Al Pacino,West Germany,11000000,19814523,Lorimar Film Entertainment,February,8814523
Heaven's Gate,R,Adventure,1980,6.8,14000,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,44000000,3484523,Partisan Productions,April,-40515477
The Final Countdown,PG,Action,1980,6.7,22000,Don Taylor,Thomas Hunter,Kirk Douglas,United States,12000000,16647800,Bryna Productions,August,4647800
Xanadu,PG,Fantasy,1980,5.3,12000,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,United States,20000000,22762571,Universal Pictures,August,2762571
Urban Cowboy,PG,Drama,1980,6.4,14000,James Bridges,Aaron Latham,John Travolta,United States,NA,46918287,Paramount Pictures,June,NA
Altered States,R,Horror,1980,6.9,33000,Ken Russell,Paddy Chayefsky,William Hurt,United States,NA,19853892,Warner Bros.,December,NA
Little Darlings,R,Comedy,1980,6.5,5100,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,NA,34326249,Stephen Friedman/Kings Road Productions,March,NA
Raise the Titanic,PG,Action,1980,5,4100,Jerry Jameson,Adam Kennedy,Jason Robards,United Kingdom,36000000,NA,ITC Films,August,NA
Brubaker,R,Crime,1980,7.2,17000,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,9000000,37121708,Twentieth Century Fox,June,28121708
American Gigolo,R,Crime,1980,6.2,22000,Paul Schrader,Paul Schrader,Richard Gere,United States,4800000,22743674,Paramount Pictures,February,17943674
My Bodyguard,PG,Comedy,1980,7.1,8900,Tony Bill,Alan Ormsby,Chris Makepeace,United States,NA,22482952,Twentieth Century Fox,September,NA
Prom Night,R,Horror,1980,5.4,16000,Paul Lynch,William Gray,Leslie Nielsen,Canada,NA,14796236,Guardian Trust Company,July,NA
Smokey and the Bandit II,PG,Action,1980,5.3,15000,Hal Needham,Hal Needham,Burt Reynolds,United States,NA,66132626,Universal Pictures,August,NA
Cattle Annie and Little Britches,PG,Drama,1980,6.1,604,Lamont Johnson,David Eyre,Scott Glenn,United States,5100000,534816,Cattle Annie Productions,April,-4565184
Seems Like Old Times,PG,Comedy,1980,6.7,9100,Jay Sandrich,Neil Simon,Goldie Hawn,United States,NA,43995918,Rastar Films,December,NA
Private Benjamin,R,Comedy,1980,6.2,24000,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,10000000,69847348,Warner Bros.,October,59847348
The Hollywood Knights,R,Comedy,1980,6.3,4300,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,4000000,10000000,PolyGram Filmed Entertainment,May,6000000
Motel Hell,R,Comedy,1980,6,11000,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,3000000,6342668,Camp Hill,October,3342668
The Jazz Singer,PG,Drama,1980,5.9,4000,Richard Fleischer,Samson Raphaelson,Laurence Olivier,United States,NA,27118000,EMI Films,December,NA
Coal Miner's Daughter,PG,Biography,1980,7.5,17000,Michael Apted,Thomas Rickman,Sissy Spacek,United States,NA,67182787,Universal Pictures,March,NA
The Watcher in the Woods,PG,Family,1980,6.3,5700,John Hough,Brian Clemens,Bette Davis,United States,NA,5000000,Walt Disney Productions,October,NA
Breaker Morant,PG,Drama,1980,7.9,13000,Bruce Beresford,Jonathan Hardy,Edward Woodward,Australia,NA,NA,The South Australian Film Corporation,July,NA
The Stunt Man,R,Action,1980,7.1,9000,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,3500000,7063886,Melvin Simon Productions,June,3563886
Where the Buffalo Roam,R,Biography,1980,6.6,11000,Art Linson,Hunter S. Thompson,Peter Boyle,United States,NA,6659377,Universal Pictures,April,NA
The Awakening,R,Horror,1980,4.8,2000,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,NA,8415112,EMI Films,October,NA
Cheech and Chong's Next Movie,R,Comedy,1980,6.1,12000,Tommy Chong,Tommy Chong,Cheech Marin,United States,NA,41675194,Universal Pictures,July,NA
The Island,R,Action,1980,5.3,3900,Michael Ritchie,Peter Benchley,Michael Caine,United States,22000000,15716828,Universal Pictures,June,-6283172
The Boogey Man,R,Horror,1980,4.6,3900,Ulli Lommel,Ulli Lommel,Suzanna Love,United States,300000,NA,The Jerry Gross Organization,November,NA
The Nude Bomb,PG,Action,1980,5.1,3100,Clive Donner,Mel Brooks,Don Adams,United States,15000000,14662035,Universal Pictures,May,-337965
Lion of the Desert,PG,Biography,1980,8.3,15000,Moustapha Akkad,David Butler,Anthony Quinn,Libya,35000000,NA,Falcon International Productions,May,NA
Stardust Memories,PG,Comedy,1980,7.3,22000,Woody Allen,Woody Allen,Woody Allen,United States,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,September,389003
Melvin and Howard,R,Comedy,1980,6.8,4500,Jonathan Demme,Bo Goldman,Paul Le Mat,United States,7000000,4309490,Universal Pictures,September,-2690510
Can't Stop the Music,PG,Biography,1980,4.2,3700,Nancy Walker,Bronte Woodard,Ray Simpson,United States,20000000,NA,EMI Films,June,NA
Bronco Billy,PG,Action,1980,6.1,11000,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,6500000,24265659,Warner Bros.,June,17765659
City of Women,R,Comedy,1980,7,6700,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,NA,12516,Opera Film Produzione,April,NA
The Private Eyes,PG,Comedy,1980,6.7,2900,Lang Elliott,Tim Conway,Tim Conway,United States,NA,NA,Tri Star Productions,November,NA
When Time Ran Out...,PG,Action,1980,4.6,2600,James Goldstone,Gordon Thomas,Paul Newman,United States,20000000,3763988,International Cinema,March,-16236012
Oh Heavenly Dog,PG,Comedy,1980,5.4,2400,Joe Camp,Rod Browning,Chevy Chase,United States,6000000,6216067,Mulberry Square Productions,July,216067
The Octagon,R,Action,1980,5.1,5200,Eric Karson,Leigh Chapman,Chuck Norris,United States,4000000,18971000,American Cinema Productions,August,14971000
Hangar 18,PG,Sci-Fi,1980,5.3,2400,James L. Conway,Ken Pettus,Darren McGavin,United States,11000000,NA,Sunn Classic Pictures,March,NA
Herbie Goes Bananas,G,Adventure,1980,5,5300,Vincent McEveety,Don Tait,Charles Martin Smith,United States,NA,18000000,Walt Disney Productions,June,NA
The Competition,PG,Drama,1980,6.7,1900,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,United States,NA,14287755,Rastar Films,December,NA
It's My Turn,R,Comedy,1980,5.5,875,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,United States,NA,NA,Rastar Films,February,NA
Honeysuckle Rose,PG,Drama,1980,6.3,1400,Jerry Schatzberg,Gösta Stevens,Willie Nelson,United States,NA,17815212,Major Studio Partners,July,NA
Resurrection,PG,Drama,1980,7.3,2800,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,United States,NA,3910019,Universal Pictures,September,NA
Fatso,PG,Comedy,1980,6.3,2000,Anne Bancroft,Anne Bancroft,Dom DeLuise,United States,NA,7653061,Brooksfilms,February,NA
Moscow Does Not Believe in Tears,PG,Comedy,1980,8.1,12000,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Soviet Union,900000,NA,Mosfilm,February,NA
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,5.1,2000,Piers Haggard,Rudy Dochtermann,Peter Sellers,United States,NA,10697276,Braun Entertainment Group,August,NA
Serial,R,Comedy,1980,6.6,915,Bill Persky,Cyra McFadden,Martin Mull,United States,NA,9870727,Paramount Pictures,March,NA
Hero at Large,PG,Comedy,1980,6,1500,Martin Davidson,AJ Carothers,John Ritter,United States,NA,15934737,Kings Road Entertainment,February,NA
Wholly Moses!,PG,Comedy,1980,4.7,1800,Gary Weis,Guy Thomas,Dudley Moore,United States,NA,14155617,Columbia Pictures,June,NA
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,7.3,2900,Bill Melendez,Charles M. Schulz,Scott Beach,United States,NA,2013193,Lee Mendelson Film Productions,May,NA
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,5.5,965,Marty Feldman,Marty Feldman,Marty Feldman,United States,NA,5215015,Universal Pictures,September,NA
Roadie,PG,Comedy,1980,5.2,1100,Alan Rudolph,Big Boy Medlin,Meat Loaf,United States,NA,4226370,Alive Enterprises,June,NA
Just Tell Me What You Want,R,Comedy,1980,5.5,585,Sidney Lumet,Jay Presson Allen,Ali MacGraw,United States,NA,2086905,Warner Bros.,January,NA
The Last Flight of Noah's Ark,G,Adventure,1980,5.8,1300,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,6000000,11000000,Walt Disney Productions,June,5000000
Little Miss Marker,PG,Comedy,1980,6.3,1400,Walter Bernstein,Damon Runyon,Walter Matthau,United States,NA,6321392,Universal Pictures,March,NA
Willie & Phil,R,Comedy,1980,5.9,415,Paul Mazursky,Jean Gruault,Michael Ontkean,United States,5500000,4400000,Twentieth Century Fox,August,-1100000
Babylon,NA,Drama,1980,7.4,1300,Franco Rosso,Franco Rosso,David N. Haynes,United Kingdom,NA,109749,Diversity Music,November,NA
Windwalker,PG,Adventure,1980,6.9,1000,Kieth Merrill,Ray Goldrup,Trevor Howard,United States,3000000,NA,Santa Fe International,November,NA
Phobia,R,Drama,1980,4,546,John Huston,Gary Sherman,Paul Michael Glaser,Canada,5100000,59167,Borough Park Productions,September,-5040833
Windows,R,Drama,1980,4.8,643,Gordon Willis,Barry Siegel,Talia Shire,United States,NA,2128395,Mike Lobell Productions,January,NA
Loving Couples,PG,Comedy,1980,5.2,351,Jack Smight,Martin Donovan,Shirley MacLaine,United States,NA,2806659,Time Life Films,October,NA
The King and the Mockingbird,Not Rated,Animation,1980,7.9,4800,Paul Grimault,Hans Christian Andersen,Jean Martin,France,NA,167451,Les Films Paul Grimault,March,NA
"Oh, God! Book II",PG,Comedy,1980,5.2,2100,Gilbert Cates,Josh Greenfeld,George Burns,United States,NA,14504277,Warner Bros.,October,NA
"Those Lips, Those Eyes",R,Comedy,1980,6.5,269,Michael Pressman,David Shaber,Frank Langella,United States,NA,804713,Herb Jaffe,August,NA
La Cage aux Folles II,R,Comedy,1980,5.8,1900,Édouard Molinaro,Jean Poiret,Michel Serrault,France,NA,6950125,Da.Ma. Cinematografica,February,NA
The Gong Show Movie,R,Comedy,1980,4.3,740,Chuck Barris,Chuck Barris,Chuck Barris,United States,NA,6621520,Chuck Barris Productions,May,NA
Gilda Live,R,Comedy,1980,6.8,599,Mike Nichols,Anne Beatts,Gilda Radner,United States,NA,2261507,Broadway Productions,March,NA
Why Would I Lie?,PG,Comedy,1980,6.5,211,Larry Peerce,Hollis Hodges,Treat Williams,United States,NA,1175855,Metro-Goldwyn-Mayer (MGM),August,NA
First Family,R,Comedy,1980,4.3,593,Buck Henry,Buck Henry,Bob Newhart,United States,NA,15198912,F.F. Associates,December,NA
Mantis Fist Fighter,NA,Action,1980,6.7,230,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,Hong Kong,NA,NA,East Asia Film Company,July,NA
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,8.4,905000,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,18000000,389925971,Paramount Pictures,June,371925971
Body Heat,R,Crime,1981,7.4,32000,Lawrence Kasdan,Lawrence Kasdan,William Hurt,United States,NA,24058838,The Ladd Company,August,NA
An American Werewolf in London,R,Comedy,1981,7.5,97000,John Landis,John Landis,David Naughton,United Kingdom,10000000,30669378,Polygram Pictures,August,20669378
Escape from New York,R,Action,1981,7.2,131000,John Carpenter,John Carpenter,Kurt Russell,United States,6000000,25244626,AVCO Embassy Pictures,July,19244626
The Evil Dead,NC-17,Horror,1981,7.5,192000,Sam Raimi,Sam Raimi,Bruce Campbell,United States,350000,2956630,Renaissance Pictures,April,2606630
Porky's,R,Comedy,1981,6.2,40000,Bob Clark,Bob Clark,Dan Monahan,Canada,2500000,111289673,Astral Bellevue Pathé,March,108789673
Blow Out,R,Crime,1981,7.4,47000,Brian De Palma,Brian De Palma,John Travolta,United States,18000000,12000000,Filmways Pictures,July,-6000000
Clash of the Titans,PG,Action,1981,6.9,42000,Desmond Davis,Beverley Cross,Laurence Olivier,United Kingdom,15000000,41092328,Charles H. Schneer Productions,June,26092328
Excalibur,R,Adventure,1981,7.4,59000,John Boorman,Thomas Malory,Nigel Terry,United Kingdom,11000000,34971136,Cinema '84,April,23971136
Mad Max 2,R,Action,1981,7.6,170000,George Miller,Terry Hayes,Mel Gibson,Australia,3000000,23668369,Kennedy Miller Productions,May,20668369
Das Boot,NA,Adventure,1981,8.3,237000,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,West Germany,NA,11487676,Bavaria Film,February,NA
Stripes,R,Comedy,1981,6.9,68000,Ivan Reitman,Len Blum,Bill Murray,United States,10000000,85297000,Columbia Pictures,June,75297000
Possession,R,Drama,1981,7.4,27000,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,France,NA,1113538,Gaumont,October,NA
The Cannonball Run,PG,Action,1981,6.2,34000,Hal Needham,Brock Yates,Burt Reynolds,United States,18000000,72179579,Golden Harvest Company,June,54179579
Thief,R,Action,1981,7.4,27000,Michael Mann,Frank Hohimer,James Caan,United States,5500000,11492915,Mann/Caan Productions,March,5992915
Endless Love,R,Drama,1981,4.9,7600,Franco Zeffirelli,Scott Spencer,Brooke Shields,United States,NA,32492674,PolyGram Filmed Entertainment,July,NA
Time Bandits,PG,Adventure,1981,7,60000,Terry Gilliam,Michael Palin,Sean Connery,United Kingdom,5000000,42368025,HandMade Films,November,37368025
The Four Seasons,PG,Comedy,1981,6.8,4200,Alan Alda,Alan Alda,Alan Alda,United States,NA,50427646,Universal Pictures,May,NA
Friday the 13th Part 2,R,Horror,1981,6.1,61000,Steve Miner,Ron Kurz,Betsy Palmer,United States,1250000,21722776,Georgetown Productions Inc.,May,20472776
Scanners,R,Horror,1981,6.8,51000,David Cronenberg,David Cronenberg,Jennifer O'Neill,Canada,NA,14225876,Canadian Film Development Corporation (CFDC),January,NA
For Your Eyes Only,PG,Action,1981,6.7,94000,John Glen,Richard Maibaum,Roger Moore,United Kingdom,28000000,54813222,Eon Productions,June,26813222
Halloween II,R,Horror,1981,6.5,77000,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,United States,2500000,25533818,Dino De Laurentiis Company,October,23033818
Taps,PG,Drama,1981,6.8,17000,Harold Becker,Darryl Ponicsan,George C. Scott,United States,14000000,35856053,Major Studio Partners,December,21856053
Reds,PG,Biography,1981,7.3,21000,Warren Beatty,Warren Beatty,Warren Beatty,United States,32000000,40382659,Barclays Mercantile Industrial Finance,December,8382659
On Golden Pond,PG,Drama,1981,7.6,29000,Mark Rydell,Ernest Thompson,Katharine Hepburn,United States,NA,119285432,IPC Films,February,NA
The Fox and the Hound,G,Animation,1981,7.3,87000,Directors,Daniel P. Mannix,Mickey Rooney,United States,12000000,63456988,Walt Disney Animation Studios,July,51456988
Chariots of Fire,PG,Biography,1981,7.2,56000,Hugh Hudson,Colin Welland,Ben Cross,United Kingdom,5500000,59303359,Enigma Productions,April,53803359
Absence of Malice,PG,Drama,1981,6.9,12000,Sydney Pollack,Kurt Luedtke,Paul Newman,United States,12000000,40716963,Columbia Pictures,December,28716963
Tarzan the Ape Man,Approved,Adventure,1981,3.4,5300,John Derek,Tom Rowe,Bo Derek,United States,6500000,36565280,Metro-Goldwyn-Mayer (MGM),July,30065280
Victory,PG,Drama,1981,6.7,29000,John Huston,Yabo Yablonsky,Michael Caine,United Kingdom,10000000,10853418,Lorimar Film Entertainment,July,853418
Arthur,PG,Comedy,1981,6.9,27000,Steve Gordon,Steve Gordon,Dudley Moore,United States,7000000,95461682,Orion Pictures,July,88461682
My Dinner with Andre,PG,Biography,1981,7.8,19000,Louis Malle,Wallace Shawn,Andre Gregory,United States,NA,5073,Saga Productions Inc.,October,NA
Caveman,PG,Comedy,1981,5.8,7300,Carl Gottlieb,Rudy De Luca,Ringo Starr,United States,NA,15965924,Estudios Churubusco Azteca S.A.,April,NA
Dead & Buried,R,Horror,1981,6.6,11000,Gary Sherman,Jeff Millar,James Farentino,United States,3000000,NA,Aspen Productions (I),October,NA
History of the World: Part I,R,Comedy,1981,6.9,47000,Mel Brooks,Mel Brooks,Mel Brooks,United States,11000000,31672907,Brooksfilms,June,20672907
The Howling,R,Horror,1981,6.6,32000,Joe Dante,Gary Brandner,Dee Wallace,United States,1000000,17985893,Embassy Pictures,April,16985893
Dragonslayer,PG,Action,1981,6.7,16000,Matthew Robbins,Hal Barwood,Peter MacNicol,United Kingdom,18000000,14110013,Paramount Pictures,June,-3889987
Cutter's Way,R,Crime,1981,6.9,5300,Ivan Passer,Newton Thornburg,Jeff Bridges,United States,3000000,1752634,Gurian Entertainment,February,-1247366
Quest for Fire,R,Adventure,1981,7.3,21000,Jean-Jacques Annaud,Gérard Brach,Everett McGill,Canada,12500000,20962615,International Cinema Corporation (ICC),February,8462615
The Final Conflict,R,Horror,1981,5.6,19000,Graham Baker,David Seltzer,Sam Neill,United Kingdom,5000000,20471382,Twentieth Century Fox,March,15471382
Mommie Dearest,R,Biography,1981,6.7,15000,Frank Perry,Christina Crawford,Faye Dunaway,United States,5000000,19032261,Paramount Pictures,September,14032261
Private Lessons,R,Comedy,1981,5.2,3400,Alan Myerson,Dan Greenburg,Sylvia Kristel,United States,2800000,26279000,Barry & Enright Productions,June,23479000
The Postman Always Rings Twice,R,Crime,1981,6.6,22000,Bob Rafelson,David Mamet,Jack Nicholson,West Germany,12000000,12376625,CIP Filmproduktion GmbH,March,376625
Ragtime,PG,Drama,1981,7.3,9000,Milos Forman,E.L. Doctorow,James Cagney,United States,NA,14920781,Dino De Laurentiis Company,December,NA
Deadly Blessing,R,Horror,1981,5.6,5200,Wes Craven,Glenn M. Benest,Maren Jensen,United States,2500000,8279042,PolyGram Filmed Entertainment,August,5779042
Eyewitness,R,Crime,1981,6,4500,Peter Yates,Steve Tesich,William Hurt,United States,8500000,6400000,Twentieth Century Fox,February,-2100000
Gallipoli,PG,Adventure,1981,7.4,38000,Peter Weir,David Williamson,Mel Gibson,Australia,NA,5732587,R&R Films,August,NA
Outland,R,Action,1981,6.6,28000,Peter Hyams,Peter Hyams,Sean Connery,United Kingdom,16000000,17374595,The Ladd Company,May,1374595
Southern Comfort,R,Action,1981,7.2,17000,Walter Hill,Michael Kane,Keith Carradine,United States,NA,NA,Cinema Group Ventures,September,NA
S.O.B.,R,Comedy,1981,6.4,5700,Blake Edwards,Blake Edwards,Julie Andrews,United States,12000000,14867086,Artista Management,July,2867086
The Beyond,R,Horror,1981,6.8,21000,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,Italy,400000,123843,Fulvia Film,November,-276157
Ghost Story,R,Drama,1981,6.3,7900,John Irvin,Peter Straub,Craig Wasson,United States,NA,23371905,Universal Pictures,December,NA
My Bloody Valentine,R,Horror,1981,6.3,19000,George Mihalka,Stephen A. Miller,Paul Kelman,Canada,NA,5672031,Canadian Film Development Corporation (CFDC),February,NA
The Funhouse,R,Horror,1981,5.9,13000,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,United States,NA,7886857,Universal Pictures,March,NA
One from the Heart,R,Drama,1981,6.5,5700,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,United States,26000000,636796,Zoetrope Studios,February,-25363204
The French Lieutenant's Woman,R,Drama,1981,7,13000,Karel Reisz,John Fowles,Meryl Streep,United Kingdom,NA,26890068,Juniper Films,October,NA
The Great Muppet Caper,G,Adventure,1981,7.2,14000,Jim Henson,Tom Patchett,Jim Henson,United Kingdom,NA,31206251,Henson Associates (HA),June,NA
True Confessions,R,Crime,1981,6.3,7500,Ulu Grosbard,John Gregory Dunne,Robert De Niro,United States,10000000,12850276,Chartoff-Winkler Productions,September,2850276
Looker,PG,Drama,1981,6.1,4900,Michael Crichton,Michael Crichton,Albert Finney,United States,8000000,NA,The Ladd Company,October,NA
Nighthawks,R,Action,1981,6.4,18000,Bruce Malmuth,David Shaber,Sylvester Stallone,United States,5000000,19905359,Universal Pictures,April,14905359
Nice Dreams,R,Comedy,1981,6.2,7100,Tommy Chong,Tommy Chong,Cheech Marin,United States,NA,37000000,C & C Brown Production,June,NA
Sharky's Machine,R,Action,1981,6.3,5600,Burt Reynolds,William Diehl,Burt Reynolds,United States,NA,35610100,Deliverance Productions,December,NA
Neighbors,R,Comedy,1981,5.6,7600,John G. Avildsen,Thomas Berger,John Belushi,United States,8500000,29916207,Columbia Pictures,December,21416207
Puberty Blues,R,Comedy,1981,5.9,1300,Bruce Beresford,Margaret Kelly,Nell Schofield,Australia,NA,237000,Limelight Productions (II),December,NA
Eye of the Needle,R,Romance,1981,7.1,9900,Richard Marquand,Ken Follett,Donald Sutherland,United Kingdom,NA,17583634,Kings Road Entertainment,July,NA
Wolfen,R,Horror,1981,6.3,9400,Michael Wadleigh,Whitley Strieber,Albert Finney,United States,17000000,10626725,Orion Pictures,July,-6373275
Student Bodies,R,Comedy,1981,5.5,4400,Mickey Rose,Mickey Rose,Kristen Riter,United States,NA,5165432,Allen Smithee Classic Films,August,NA
Prince of the City,R,Crime,1981,7.5,7600,Sidney Lumet,Jay Presson Allen,Treat Williams,United States,8600000,8124257,Orion Pictures,August,-475743
The Hand,R,Drama,1981,5.5,5700,Oliver Stone,Marc Brandel,Michael Caine,United States,NA,2447576,Orion Pictures,April,NA
Continental Divide,PG,Comedy,1981,6.2,4800,Michael Apted,Lawrence Kasdan,John Belushi,United States,NA,15578237,Universal Pictures,September,NA
Diva,R,Music,1981,7.2,12000,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,France,NA,110014,Les Films Galaxie,April,NA
Venom,R,Horror,1981,5.8,2600,Piers Haggard,Alan Scholefield,Klaus Kinski,United Kingdom,NA,5229643,Morison Film Group,January,NA
Fort Apache the Bronx,R,Crime,1981,6.7,5800,Daniel Petrie,Heywood Gould,Paul Newman,United States,NA,29200000,Time Life Films,February,NA
Eyes of a Stranger,R,Horror,1981,6,2400,Ken Wiederhorn,Ron Kurz,Lauren Tewes,United States,800000,1118634,Georgetown Productions Inc.,March,318634
Zorro: The Gay Blade,PG,Action,1981,6.2,4100,Peter Medak,Hal Dresner,George Hamilton,United States,NA,NA,Melvin Simon Productions,July,NA
Under the Rainbow,PG,Comedy,1981,5.4,2600,Steve Rash,Fred Bauer,Chevy Chase,United States,20000000,18826490,Innovisions,July,-1173510
Carbon Copy,PG,Comedy,1981,5.6,2600,Michael Schultz,Stanley Shapiro,George Segal,United States,6000000,9566593,DeHaven/Shapiro Productions,September,3566593
The Incredible Shrinking Woman,PG,Comedy,1981,5.5,4500,Joel Schumacher,Richard Matheson,Lily Tomlin,United States,NA,20259961,Lija Productions,January,NA
The Night the Lights Went Out in Georgia,PG,Drama,1981,6,891,Ron Maxwell,Bob Bonney,Kristy McNichol,United States,NA,14923752,Viacom Enterprises,June,NA
Quartet,R,Drama,1981,6.3,1300,James Ivory,Jean Rhys,Isabelle Adjani,United Kingdom,NA,12042,Merchant Ivory Productions,October,NA
Graduation Day,R,Horror,1981,4.9,3600,Herb Freed,Anne Marisse,Christopher George,United States,250000,NA,Baughn/Freed Productions,May,NA
Modern Problems,PG,Comedy,1981,5.1,4900,Ken Shapiro,Ken Shapiro,Chevy Chase,United States,8000000,26154211,Twentieth Century Fox,December,18154211
Pennies from Heaven,R,Drama,1981,6.5,5300,Herbert Ross,Dennis Potter,Steve Martin,United States,22000000,9171289,Metro-Goldwyn-Mayer (MGM),January,-12828711
American Pop,R,Animation,1981,7.2,4400,Ralph Bakshi,Ronni Kern,Mews Small,United States,1500000,NA,Bakshi Productions,February,NA
The Legend of the Lone Ranger,PG,Action,1981,5.1,2000,William A. Fraker,Ivan Goff,Klinton Spilsbury,United States,18000000,12617845,Eaves Movie Ranch,May,-5382155
Sphinx,PG,Adventure,1981,5.2,1300,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,United Kingdom,14000000,2022771,Orion Pictures,February,-11977229
Night School,R,Horror,1981,5.6,2400,Ken Hughes,Ruth Avergon,Leonard Mann,United States,NA,1169875,Lorimar Productions,September,NA
An Eye for an Eye,R,Action,1981,5.5,3600,Steve Carver,James Bruner,Chuck Norris,United States,3800000,NA,Adams Apple Film Company,August,NA
Zoot Suit,R,Drama,1981,6.8,1100,Luis Valdez,Luis Valdez,Daniel Valdez,United States,2700000,3256082,Universal Pictures,January,556082
Rich and Famous,R,Drama,1981,5.9,1600,George Cukor,Gerald Ayres,Jacqueline Bisset,United States,NA,14492125,Jaquet,October,NA
Buddy Buddy,R,Comedy,1981,6.5,4500,Billy Wilder,Francis Veber,Jack Lemmon,United States,10000000,7258543,Heron Productions,December,-2741457
